"CAS","RunID","ModelCode","Value","RefID","DataFlag","ShowDataWarning","Comments","UserModified","userComment","DoNotShowValue"
50328,,"AntB","-9999",143,"D",0,,0,,1
50328,,"Antc","-9999",143,"D",0,,0,,1
50328,,"BrExfruit","0.00348",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50328,,"BrExveg","0.00348",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50328,,"BrForage","0.00348",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50328,,"BrGrain","0.00348",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50328,,"BrProfruit","0.00348",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50328,,"BrProveg","0.00348",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50328,,"BrSilage","0.00348",58,"C",1,"Calculated by model based on logKow using correlation equation in cited reference.",0,,0
50328,,"Bs","1",144,,0,"Always 1",0,,1
50328,,"Bv","3490000",5,"C",1,"Calculated by model based on log Kow and HLC using correlation equation in cited reference.",0,,0
50328,,"CAS","50328",146,,0,,0,,0
50328,,"ChemName","Benzo(a)pyrene",146,,0,,0,,0
50328,,"ChemType","O",146,,0,,0,,1
50328,,"CSFOral","1",29,,0,,0,,0
50328,,"CTPWasteDry","2.19",244,,0,"Table 11; lognormal, ROS",0,,0
50328,,"Da","0.0405",54,"E",1,,0,,0
50282,,"CTPWaste","0.027",145,"C",0,"Calculated from CTPWasteDry assuming 40% solids",0,,1
57625,,"tc","-9999",143,"D",0,,0,,1
57625,,"UseRfDPath","0",146,,0,,0,,1
57681,,"AntB","-9999",143,"D",0,,0,,1
57681,,"Antc","-9999",143,"D",0,,0,,1
57681,,"BrExfruit","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57681,,"BrExveg","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57681,,"BrForage","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57681,,"BrGrain","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57681,,"BrProfruit","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57681,,"BrProveg","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57681,,"BrSilage","8.38",58,"Bl",1,"Calculated by model based on lower-bound logKow (1.15) using correlation equation in cited reference.",0,,0
57681,,"Bs","1",144,,0,"Always 1",0,,1
57681,,"Bv","0",143,"Z",1,"Set to zero: HLC <1E-10.",0,,0
57681,,"CAS","57681",146,,0,,0,,0
57681,,"ChemName","Sulfamethazine",146,,0,,0,,0
57681,,"ChemType","O",146,,0,,0,,1
57681,,"CSFOral","0",196,"M",0,,0,,0
57681,,"CTPWasteDry","0.0218",244,,0,"Table 10; Nonparametric K-M",0,,0
57681,,"Da","0.0454",54,"E",1,,0,,0
57681,,"Dw","6.29E-6",54,"E",1,,0,,0
57681,,"HLC","0",143,"Z",1,"Low; set to zero",0,,0
57681,,"IUR","0",196,"M",0,,0,,0
57681,,"Kanaer","0.00205",18,"E",1,"Estimated ",0,,0
57681,,"kh","0",196,"M",1,,0,,0
57681,,"Koc","90.6",28,,1,"Used the geometric mean of all values.",0,,0
57681,,"KpPar","18.07",25,,0,,0,,1
57681,,"ksoil","0.00924",18,"E",1,"Estimated ",0,,0
57681,,"LogKow","0.19",44,,1,"Experimental value ",0,,0
57681,,"MW","278.34",44,,1,,0,,0
57681,,"Pc","-9999",143,"D",0,,0,,1
57681,,"RCF","0.862",9,"C",1,"Calculated by model based on log Kow using correlation equation in cited reference.",0,,0
57681,,"RfC","0",196,"M",0,,0,,0
57681,,"RfD","0.05",20,,0,"ADI",0,,0
57681,,"RfD_fish","0.05",20,,0,"ADI",0,,1
57681,,"RfD_food","0.05",20,,0,"ADI",0,,1
50328,,"Dw","5.74E-6",54,"E",1,,0,,0
50328,,"HLC","4.57E-7",44,,1,"Experimental value at 25 deg C.",0,,0
50328,,"IUR","0.0006",29,,0,,0,,0
50328,,"Kanaer","0.00128",18,"E",1,"Estimated ",0,,0
50328,,"kh","0",31,,1,,0,,0
50328,,"Koc","631000",31,,1,,0,,0
50282,,"BCF_T3F","46",18,"E",0,,0,,0
50282,,"BCF_T3W","46",18,"E",0,,0,,0
50282,,"BCF_T4F","35",18,"E",0,,0,,0
50282,,"BCF_T4W","35",18,"E",0,,0,,0
50328,,"BCF_T3F","980",18,"E",0,,0,,0
50328,,"BCF_T3W","980",18,"E",0,,0,,0
50328,,"BCF_T4F","400",18,"E",0,,0,,0
50328,,"BCF_T4W","400",18,"E",0,,0,,0
57625,,"BCF_T3F","0.94",18,"E",0,,0,,0
57625,,"BCF_T3W","0.94",18,"E",0,,0,,0
50328,,"KpPar","18.07",25,,0,,0,,1
50328,,"ksoil","0.00257",28,,1,"Used a median half life value of 270 days.",0,,0
50328,,"LogKow","6.13",44,,1,"Experimental value at 25 deg C",0,,0
50328,,"MW","252.32",15,,1,,0,,0
50328,,"Pc","-9999",143,"D",0,,0,,1
50328,,"RCF","7410",9,"C",1,"Calculated by model based on log Kow using correlation equation in cited reference.",0,,0
50328,,"RfC","2E-6",29,,0,,0,,0
50328,,"RfD","0.0003",29,,0,,0,,0
50328,,"RfD_fish","0.0003",29,,0,,0,,1
50328,,"RfD_food","0.0003",29,,0,,0,,1
50328,,"RfD_soil","0.0003",29,,0,,0,,1
50328,,"RfD_water","0.0003",29,,0,,0,,1
50328,,"Sol","0.00162",44,,0,"Experimental value at 25 deg C.",0,,0
50328,,"tb","495",44,,0,,0,,1
50328,,"tc","-9999",143,"D",0,,0,,1
50328,,"UseRfDPath","0",146,,0,,0,,1
