CAS,EcoRecID,ModelCode,Value,RefID,Comment,UserModified,userComment,DoNotShowValue
,54,Crfrac_Sed,0.104,73,,FALSE,,FALSE
,54,DF_2,0.75,73,"Min, Avg, Max = 0.5, 0.75, 1",FALSE,,FALSE
,54,DF_7,0.125,73,"Min, Avg, Max = 0, 0.125, 0.25",FALSE,,FALSE
,54,DF_8,0.125,73,"Min, Avg, Max = 0, 0.125, 0.25",FALSE,,FALSE
50328,8,BMD,0.4,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,8,BMD,8,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,8,BMD,7.1,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,8,BMD,0.8,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,8,BMD,1,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,8,BMD,38,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,8,BMD,0.3,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,8,BMD,0.1,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,8,BMD,0.2,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,8,BMD,3.1,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,8,BMD,0.005,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,8,BMD,3.5,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,8,BMD,0.01,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,8,BMD,0.6,252,test species: Dog,FALSE,test species: Dog,FALSE
7440393,8,BMD,12,253,test species: Rat,FALSE,test species: Rat,FALSE
7440417,8,BMD,0.1,254,test species: Rat,FALSE,test species: Rat,FALSE
7440428,8,BMD,12,122,test species: Rat,FALSE,test species: Rat,FALSE
7440439,8,BMD,0.2,261,test species: Rat,FALSE,test species: Rat,FALSE
7440484,8,BMD,1.6,263,test species: Rat,FALSE,test species: Rat,FALSE
7440508,8,BMD,5.3,264,test species: Pig,FALSE,test species: Pig,FALSE
7440622,8,BMD,0.6,268,test species: Mouse,FALSE,test species: Mouse,FALSE
7440666,8,BMD,30,257,test species: Rabbit,FALSE,test species: Rabbit,FALSE
7783086,8,BMD,0.09,267,test species: Pig,FALSE,test species: Pig,FALSE
14797558,8,BMD,220,122,test species: Guinea Pig,FALSE,test species: Guinea Pig,FALSE
16065831,8,BMD,0.7,262,test species: Pig,FALSE,test species: Pig,FALSE
16984488,8,BMD,12,122,test species: Mink,FALSE,test species: Mink,FALSE
18540299,8,BMD,2.3,262,test species: Rat,FALSE,test species: Rat,FALSE
50328,15,BMD,0.7,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,15,BMD,14,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,15,BMD,13,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,15,BMD,1.3,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,15,BMD,1.8,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,15,BMD,67,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,15,BMD,0.5,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,15,BMD,0.2,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,15,BMD,0.4,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,15,BMD,5.5,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,15,BMD,0.01,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,15,BMD,6.3,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,15,BMD,0.02,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,15,BMD,1,252,test species: Dog,FALSE,test species: Dog,FALSE
7440393,15,BMD,21,253,test species: Rat,FALSE,test species: Rat,FALSE
7440417,15,BMD,0.2,254,test species: Rat,FALSE,test species: Rat,FALSE
7440428,15,BMD,21,122,test species: Rat,FALSE,test species: Rat,FALSE
7440439,15,BMD,0.3,261,test species: Rat,FALSE,test species: Rat,FALSE
7440484,15,BMD,2.9,263,test species: Rat,FALSE,test species: Rat,FALSE
7440508,15,BMD,9.3,264,test species: Pig,FALSE,test species: Pig,FALSE
7440622,15,BMD,1,268,test species: Mouse,FALSE,test species: Mouse,FALSE
7440666,15,BMD,53,257,test species: Rabbit,FALSE,test species: Rabbit,FALSE
7783086,15,BMD,0.2,267,test species: Pig,FALSE,test species: Pig,FALSE
14797558,15,BMD,380,122,test species: Guinea Pig,FALSE,test species: Guinea Pig,FALSE
16065831,15,BMD,1.2,262,test species: Pig,FALSE,test species: Pig,FALSE
16984488,15,BMD,21,122,test species: Mink,FALSE,test species: Mink,FALSE
18540299,15,BMD,4.1,262,test species: Rat,FALSE,test species: Rat,FALSE
50328,16,BMD,3.5,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,16,BMD,72,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,16,BMD,64,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,16,BMD,6.8,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,16,BMD,9.3,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,16,BMD,340,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,16,BMD,2.7,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,16,BMD,0.9,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,16,BMD,1.8,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,16,BMD,28,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,16,BMD,0.05,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,16,BMD,32,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,16,BMD,0.1,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,16,BMD,5,252,test species: Dog,FALSE,test species: Dog,FALSE
7440393,16,BMD,110,253,test species: Rat,FALSE,test species: Rat,FALSE
7440417,16,BMD,1.2,254,test species: Rat,FALSE,test species: Rat,FALSE
7440428,16,BMD,110,122,test species: Rat,FALSE,test species: Rat,FALSE
7440439,16,BMD,1.7,261,test species: Rat,FALSE,test species: Rat,FALSE
7440484,16,BMD,14,263,test species: Rat,FALSE,test species: Rat,FALSE
7440508,16,BMD,47,264,test species: Pig,FALSE,test species: Pig,FALSE
7440622,16,BMD,5.2,268,test species: Mouse,FALSE,test species: Mouse,FALSE
7440666,16,BMD,270,257,test species: Rabbit,FALSE,test species: Rabbit,FALSE
7783086,16,BMD,0.8,267,test species: Pig,FALSE,test species: Pig,FALSE
14797558,16,BMD,1900,122,test species: Guinea Pig,FALSE,test species: Guinea Pig,FALSE
16065831,16,BMD,6.3,262,test species: Pig,FALSE,test species: Pig,FALSE
16984488,16,BMD,110,122,test species: Mink,FALSE,test species: Mink,FALSE
18540299,16,BMD,21,262,test species: Rat,FALSE,test species: Rat,FALSE
50328,18,BMD,1.2,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,18,BMD,26,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,18,BMD,23,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,18,BMD,2.4,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,18,BMD,3.3,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,18,BMD,120,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,18,BMD,0.9,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,18,BMD,0.3,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,18,BMD,0.6,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,18,BMD,9.9,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,18,BMD,0.02,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,18,BMD,11,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,18,BMD,0.04,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,18,BMD,1.8,252,test species: Dog,FALSE,test species: Dog,FALSE
7440393,18,BMD,38,253,test species: Rat,FALSE,test species: Rat,FALSE
7440417,18,BMD,0.4,254,test species: Rat,FALSE,test species: Rat,FALSE
7440428,18,BMD,37,122,test species: Rat,FALSE,test species: Rat,FALSE
7440439,18,BMD,0.6,261,test species: Rat,FALSE,test species: Rat,FALSE
7440484,18,BMD,5.2,263,test species: Rat,FALSE,test species: Rat,FALSE
7440508,18,BMD,17,264,test species: Pig,FALSE,test species: Pig,FALSE
7440622,18,BMD,1.8,268,test species: Mouse,FALSE,test species: Mouse,FALSE
7440666,18,BMD,96,257,test species: Rabbit,FALSE,test species: Rabbit,FALSE
7783086,18,BMD,0.3,267,test species: Pig,FALSE,test species: Pig,FALSE
14797558,18,BMD,690,122,test species: Guinea Pig,FALSE,test species: Guinea Pig,FALSE
16065831,18,BMD,2.2,262,test species: Pig,FALSE,test species: Pig,FALSE
16984488,18,BMD,39,122,test species: Mink,FALSE,test species: Mink,FALSE
18540299,18,BMD,7.5,262,test species: Rat,FALSE,test species: Rat,FALSE
50328,28,BMD,2.9,122,test species: Mouse,FALSE,test species: Mouse,FALSE
60548,28,BMD,60,125,test species: Rat,FALSE,test species: Rat,FALSE
117817,28,BMD,54,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7429905,28,BMD,5.6,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7439921,28,BMD,7.7,265,test species: Rat,FALSE,test species: Rat,FALSE
7439965,28,BMD,280,256,test species: Sheep,FALSE,test species: Sheep,FALSE
7439976,28,BMD,2.2,122,test species: Mink,FALSE,test species: Mink,FALSE
7439987,28,BMD,0.8,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440020,28,BMD,1.5,266,test species: Mouse,FALSE,test species: Mouse,FALSE
7440224,28,BMD,23,255,test species: Pig,FALSE,test species: Pig,FALSE
7440280,28,BMD,0.04,122,test species: Rat,FALSE,test species: Rat,FALSE
7440315,28,BMD,26,122,test species: Mouse,FALSE,test species: Mouse,FALSE
7440360,28,BMD,0.1,260,test species: Rat,FALSE,test species: Rat,FALSE
7440382,28,BMD,4.1,252,test species: Dog,FALSE,test species: Dog,FALSE
7440393,28,BMD,88,253,test species: Rat,FALSE,test species: Rat,FALSE
7440417,28,BMD,1,254,test species: Rat,FALSE,test species: Rat,FALSE
7440428,28,BMD,88,122,test species: Rat,FALSE,test species: Rat,FALSE
7440439,28,BMD,1.4,261,test species: Rat,FALSE,test species: Rat,FALSE
7440484,28,BMD,12,263,test species: Rat,FALSE,test species: Rat,FALSE
7440508,28,BMD,39,264,test species: Pig,FALSE,test species: Pig,FALSE
7440622,28,BMD,4.3,268,test species: Mouse,FALSE,test species: Mouse,FALSE
