"RunID","SiteID","SrcTypeID","LinerTypeID","ModelCode","Value","Ref_ID","Comment","Dependency","DoNotShowValue"
,,,,"ALPHA","1",146,,"system",1
,,,,"Area_3","52555",269,,"waterbody/watershed",0
,,,,"Area_4","1728000",145,"Calculated as area of index res (Area_3) x depth of index res (dwc_3) x drainage to capacity ratio (DTR)","waterbody/watershed",0
,,,,"asdm","0.5",164,,"site",0
,,,,"bcm","1",146,,"system",1
,,,,"BDw","0.7",156,,"waste",0
,,,,"bsp","0.6",158,,"waterbody/watershed",0
,,,,"C","0.1",25,,"waterbody/watershed",0
,,,,"db","0.05",158,"changed for VVWM","waterbody/watershed",0
,,,,"DelT","1",146,,"system",1
,,,,"deltDiv","1",146,,"system",1
,,,,"dwc_3","2.74",269,,"waterbody/watershed",0
,,,,"Dynamic","N",146,,"system",1
,,,,"DynLoadSecNum","2",146,,"system",1
,,,,"DynParm","Y",146,,"system",1
,,,,"DynPrint","T",146,,"system",1
,,,,"DynType","3",146,,"system",1
,,,,"foc_bs","0.04",269,,"waterbody/watershed",0
,,,,"foc_sw","0.04",269,,"waterbody/watershed",0
,,,,"focW","0.4",148,,"waste",0
,,,,"fwmu","1",144,,"waste",0
,,,,"Infild","0",146,,"system",1
,,,,"Linear","Y",146,,"system",1
,,,,"MAS","3",146,,"system",1
,,,,"mt","0",144,"assumes no regular vehicular activity on agricultural field","particulate emissions",1
,,,,"N","2",149,"based on surface soil textures","system",1
,,,,"NB","2",146,,"system",1
,,,,"NSV","1",146,,"system",1
,,,,"NumPrintInterval","1",146,,"system",1
,,,,"NumSectnPrint","2",146,,"system",1
,,,,"NumWSSub","1",146,,"system",1
,,,,"nv","0",144,"assumes no regular vehicular activity on agricultural field","particulate emissions",1
,,,,"nw","4",147,"not used","particulate emissions",1
,,,,"NyrMax","150",146,"Set longer than sum of max operating life (40 yrs) and max exposure duration (100 yrs)","system",1
,,,,"P","1",168,,"waterbody/watershed",0
,,,,"pHFreq","2",145,"= frequency of application","system",1
,,,,"PI_1","0",153,,"site",0
,,,,"Sed_Density","2.5E6",144,,"waterbody/watershed",0
,,,,"siteseed","55403126",146,,"system",1
,,,,"solid","40",148,,"waste",0
,,,,"SrcID","LAU",146,,"system",1
,,,,"SrcLWSNumSubArea","2",146,,"system",1
,,,,"SrcLWSSubAreaIndex","1",146,,"system",1
,,,,"SrcNumLWS","1",146,,"system",1
,,,,"Sw","10",147,,"waste",0
,,,,"td","150",146,"set equal to max model simulation time (Nyrmax)","system",1
,,,,"TermFrac","0",146,,"system",1
,,,,"Theta_water","1.024",151,,"waterbody/watershed",0
,,,,"thetawZ1d","0",146,,"system",1
,,,,"thetawZ2d","0",146,,"system",1
,,,,"Tilled","1",146,,"system",1
,,,,"U","0",144,,"waterbody/watershed",0
,,,,"VolBed_3","1578",145,"calculated as db x area _3","waterbody/watershed",1
,,,,"VolWC_3","144317",145,"calculated as dw_3 x area _3","waterbody/watershed",1
,,,,"vw","2.1",147,"not used","particulate emissions",1
,,,,"WCP","1",144,"based on low TSS concentration in water column","waterbody/watershed",0
,,,,"zava","0",144,,"site",1
,,,,"zavb","0.20",148,,"site",1
,,,,"Zt","20",148,,"site",1
,,,,"Zu","2",148,,"site",1
,,,,"zZ1sa","0.2",148,,"site",1
,,,,"zZ2WMU","0",144,,"site",1
,,1,,"AppDepth","0.2",148,"same as zZ1WMU, tilling depth","practices",0
,,1,,"Cwmu","0.1",25,,"practices",0
,,1,,"fcult","5",164,,"practices",0
,,1,,"fd","0.2083",148,,"practices",0
,,1,,"Pwmu","0.5",168,,"practices",0
,,2,,"AppDepth","0.02",148,"same as zZ1WMU, tilling depth","practices",0
,,2,,"Cwmu","0.1",25,,"practices",0
,,2,,"fcult","1",164,,"practices",0
,,2,,"fd","0.0416",148,,"practices",0
,,2,,"Pwmu","1",168,,"practices",0
,,3,,"AppDepth","0.02",148,"same as zZ1WMU, tilling depth","practices",0
,,3,,"Cwmu","0.1",25,,"practices",0
,,3,,"fcult","1",164,,"practices",0
,,3,,"fd","0.0416",148,,"practices",0
,,3,,"Pwmu","1",168,,"practices",0
,"13880",,,"AirTemp","18.18",160,"determined by met station","met/hydro",0
,"13880",,,"DTR","12",270,,"waterbody/watershed",0
,,,,"dwc_5","2.0",269,,"waterbody/watershed",0
,"13880",,,"MetSta","13880",146,,"met/hydro",1
,"13880",,,"R","360",166,"determined by met station","met/hydro",0
,"13880",,,"SiteLatitude","32.9",160,"determined by met station","met/hydro",0
,"13880",,,"Twater1"," 284",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater10"," 297",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater11"," 292",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater12"," 288",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater2"," 282",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater3"," 283",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater4"," 287",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater5"," 291",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater6"," 295",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater7"," 299",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater8"," 300",169,"depends on HUC Region","met/hydro",0
,"13880",,,"Twater9"," 299",169,"depends on HUC Region","met/hydro",0
,"13880",,,"uw","3.788",160,"determined by met station","met/hydro",0
,"94018",,,"AirTemp","10.11",160,"determined by met station","met/hydro",0
,"94018",,,"DTR","12",270,,"waterbody/watershed",0
,"94018",,,"MetSta","94018",146,,"met/hydro",1
,"94018",,,"R","50",166,"determined by met station","met/hydro",0
,"94018",,,"SiteLatitude","40.0167",160,"determined by met station","met/hydro",0
,"94018",,,"Twater1"," 273",169,"depends on HUC Region","met/hydro",0
,"94018",,,"Twater10"," 290",169,"depends on HUC Region","met/hydro",0
,"94018",,,"Twater11"," 284",169,"depends on HUC Region","met/hydro",0
