"ID","Category","Value","Value Type","Code","Dimensions","Indices","Input File Name","Units","Description","DataType"
1,"Chemical",,,"Chemical abbreviation",,,"CastoName.txt",,"2 letter chemical abbreviation",
2,"Source",,,"Conc",,,"Conc.dat",,"Concentration values at which Minteq was run",
3,"Chemical","Chemical Specific","Constant","AntB",0.00,,"CP.ssf","degC or K",,"FLOAT"
4,"Chemical","Chemical Specific","Constant","AntC",0.00,,"CP.ssf","degC",,"FLOAT"
5,"Chemical","Chemical Specific","Constant","ChemADiff",1.00,"NumChem","CP.ssf","cm^2/s","Air Diffusion Coefficient","FLOAT"
6,"Chemical","Chemical Specific","Constant","ChemAerBioRate",1.00,"NumChem","CP.ssf","1/day","Aerobic Biodegradation rate","FLOAT"
7,"Chemical","Chemical Specific","Constant","ChemAnaBioRate",1.00,"NumChem","CP.ssf","1/day","Anaerobic Biodegradation","FLOAT"
8,"Chemical","Chemical Specific","Constant","ChemCASID",1.00,"NumChem","CP.ssf",,"CASID","STRING"
9,"Chemical","Chemical Specific","Constant","ChemFracNeutral",1.00,"NumChem","CP.ssf","fraction","Fraction of chemical concentration in the neutral species at a given pH and T","FLOAT"
10,"Chemical","Chemical Specific","Constant","ChemHLC",1.00,"NumChem","CP.ssf","(atm m^3)/mol","Henry's Law Constant","FLOAT"
11,"Chemical","Chemical Specific","Constant","ChemHydRate",1.00,"NumChem","CP.ssf","1/day","Catalyzed Hydrolysis","FLOAT"
12,"Chemical","Chemical Specific","Distribution","ChemKd",2.00,"NumChem,4","CP.ssf","L/kg","Partition Coefficient for Med","FLOAT"
13,"Chemical","Chemical Specific","Constant","ChemKoc",1.00,"NumChem","CP.ssf","mL/g","Koc","FLOAT"
14,"Chemical","Chemical Specific","Constant","ChemSol",2.00,"NumChem,4","CP.ssf","mg/L","Solubility for each media","FLOAT"
15,"Chemical","Chemical Specific","Constant","ChemTemp",0.00,"NumChem","CP.ssf","degrees Celsius","Temperature assumed for these properties","FLOAT"
16,"Chemical","Chemical Specific","Constant","ChemWDiff",1.00,"NumChem","CP.ssf","cm^2/s","Water Diffusion Coefficient","FLOAT"
17,"Chemical","Chemical Specific","Constant","Pc",0.00,,"CP.ssf","atm","Critical pressure","FLOAT"
18,"Chemical","Chemical Specific","Constant","tb",0.00,,"CP.ssf","degC","Boiling point","FLOAT"
19,"Chemical","Chemical Specific","Constant","tc",0.00,,"CP.ssf","degC","Critical temperature","FLOAT"
20,"Model",,"Constant","GridVal",,,"grid value data files (multiple files)",,"Grid values for Kd as a function of pH and concentration used in spline calculations",
22,"Model","MetData","Constant","MetDir",0.00,,"hd.ssf",,,"STRING"
24,"Source","Farm Specific","Constant","AppDepth",0.00,,"la.ssf","m","Depth of waste incorporation.  Specify in .01m increments,e.g. 0.2","FLOAT"
25,"Source","0.5","Constant","asdm",0.00,,"la.ssf","mm","mode of the aggregate size distribution (till zone surface)","FLOAT"
26,"Source","1","Constant","bcm",0.00,,"la.ssf","unitless","boundary condition multiplier (lower boundary)","FLOAT"
27,"Site","EPA provided value","Constant","BDw",0.00,,"la.ssf","g/cm3","dry bulk density (waste solids)","FLOAT"
28,"Site","0.3","Constant","C",2.00,"SrcNumLWS, SrcLWSNumSubArea","la.ssf","unitless","USLE cover factor (all subareas except WMU)","FLOAT"
29,"Site","Soil Specific","Distribution","CN",2.00,"SrcNumLWS, SrcLWSNumSubArea","la.ssf","unitless","SCS curve number (all subareas except WMU)","FLOAT"
30,"Site","Run Specific","Constant","CNwmu",0.00,,"la.ssf","unitless","SCS curve number (WMU)","FLOAT"
31,"Site","Run Specific","Constant","ConVs",0.00,,"la.ssf","m/d","settling velocity (suspended solids)","FLOAT"
32,"Source","Run Specific","Constant","CTPwaste",0.00,,"la.ssf","ug/g","constituent concentration in waste (wet)","FLOAT"
33,"Source","40","Constant","CutOffYr",0.00,,"la.ssf","year","operating life","INTEGER"
34,"Site","Harvest Specific","Constant","Cwmu",0.00,,"la.ssf","unitless","USLE cover factor (WMU)","FLOAT"
35,"Model","0","Constant","deltDiv",0.00,,"la.ssf","unitless","time step divider (for debugging)","INTEGER"
36,"Site","Soil Specific","Distribution","DRZ",2.00,"SrcNumLWS, SrcLWSNumSubArea","la.ssf","cm","depth (root zone, all subareas)","FLOAT"
37,"Source","0","Constant","effdust",0.00,,"la.ssf","unitless","dust suppression control efficiency","FLOAT"
