CAS,ModelCode,ShowDataWarning,UserModified,DoNotShowValue,Value,RefID,DataFlag,Comments,Minimum Value,Maximum Value,Units,Instructions,Parameter Description
57636,CAS,FALSE,FALSE,FALSE,57636,279,,,,,NA,Must enter data,"CAS number, no hyphens"
57636,ChemName,FALSE,FALSE,FALSE,17alpha-Ethinylestradiol,279,,,,,NA,Must enter data,Chemical name (should match name in tbl_Chemicals)
57636,ChemType,FALSE,FALSE,TRUE,O,146,,,,,NA,Fixed Value: copy data from cols E-H as is,"Chemical type, must be O for organics"
57636,AntB,FALSE,FALSE,TRUE,-9999,143,D,,,,"[C, atm]",Fixed Value: copy data from cols E-H as is,Antoine's vapor pressure equation coefficient B
57636,AntC,FALSE,FALSE,TRUE,-9999,143,D,,,,"[C, atm]",Fixed Value: copy data from cols E-H as is,Antoine's vapor pressure equation coefficient C
57636,Bs,FALSE,FALSE,TRUE,1,144,,Always 1,,,[fraction],Fixed Value: copy data from cols E-H as is,Bioavailability of contaminant in soil relative to vegetation
57636,CTPwaste,FALSE,FALSE,TRUE,4e-04,145,C,Calculated,0,,[ug/g WW],Fixed Value: copy data from cols E-H as is,Wet biosolids concentration
57636,KpPar,FALSE,FALSE,TRUE,18.07,25,,Constant,,,[1/yr],Fixed Value: copy data from cols E-H as is,Plant surface loss coefficient (particulate)
57636,Pc,FALSE,FALSE,TRUE,-9999,143,D,,,,[atm],Fixed Value: copy data from cols E-H as is,Critical pressure
57636,tc,FALSE,FALSE,TRUE,-9999,143,D,,,,[deg C],Fixed Value: copy data from cols E-H as is,Critical temperature
57636,temp_ref_aer_all,FALSE,FALSE,FALSE,25,143,,,,,[C],Fixed Value: copy data from cols E-H as is,Reference temperature for water column degradation
57636,temp_ref_anae_all,FALSE,FALSE,FALSE,25,143,,,,,[C],Fixed Value: copy data from cols E-H as is,Reference temperature for benthic degradation
57636,UseRfDPath,FALSE,FALSE,TRUE,0,146,,,,,NA,Fixed Value: copy data from cols E-H as is,True if pathway-specific value is to be used
57636,BCF_beef,TRUE,FALSE,FALSE,0.251812371829367,49,C,"RTI, 2005",0,8000,[mg/kg beef]/[mg/kg DW],Can be calculated: copy data from cols E-H to flag for calculation,Bioconcentration factor (beef)
57636,BCF_milk,TRUE,FALSE,FALSE,0.0894353553273778,49,C,"RTI, 2005",0,16000,[mg/kg milk]/[mg/kg DW],Can be calculated: copy data from cols E-H to flag for calculation,Bioconcentration factor (milk)
57636,BrExfruit,TRUE,FALSE,FALSE,0.29291391262889,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer (soil to exposed fruit)
57636,BrExveg,TRUE,FALSE,FALSE,0.29291391262889,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to exposed vegetables)
57636,BrForage,TRUE,FALSE,FALSE,0.29291391262889,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to forage)
57636,BrGrain,TRUE,FALSE,FALSE,0.29291391262889,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to grain)
57636,BrProfruit,TRUE,FALSE,FALSE,0.29291391262889,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to protected fruit)
57636,BrProveg,TRUE,FALSE,FALSE,0.29291391262889,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to protected vegetables)
57636,BrSilage,TRUE,FALSE,FALSE,0.29291391262889,58,C,"Travis & Arms, 1988",0,10,[mg/kg DW plant]/[mg/kg soil],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer  factor (soil to silage)
57636,Bv,TRUE,FALSE,FALSE,4797.06632771189,5,C,"Bacci et al., 1992",0,1000000000,[ug/g DW plant]/[ug/g air],Can be calculated: copy data from cols E-H to flag for calculation,Biotransfer factor (vapor phase air to all plants)
57636,RCF,TRUE,FALSE,FALSE,20.22553414923,9,C,"Briggs et al., 1982",0,1000000,[ug/g WW plant]/[ug/mL soil water],Can be calculated: copy data from cols E-H to flag for calculation,Root concentration factor
57636,BCF_T3F,FALSE,FALSE,FALSE,949.174840742847,279,D,Supplied from CompTox using geometric mean of ECOTOX: aquatic values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL3 fish, filet; used for human)"
57636,BCF_T3W,FALSE,FALSE,FALSE,949.174840742847,279,D,Supplied from CompTox using geometric mean of ECOTOX: aquatic values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL3 fish, whole; used for eco)"
57636,BCF_T4F,FALSE,FALSE,FALSE,949.174840742847,279,D,Supplied from CompTox using geometric mean of ECOTOX: aquatic values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL4 fish, filet; used for human)"
57636,BCF_T4W,FALSE,FALSE,FALSE,949.174840742847,279,D,Supplied from CompTox using geometric mean of ECOTOX: aquatic values.,0,1000000000,[mg/kg fish]/[mg/L water],Default available: copy data from cols E-H for defaults,"Bioaccumulation factor (TL4 fish, whole; used for eco)"
57636,C_in,FALSE,FALSE,FALSE,0,143,D,,0,1000000,[mg/L],Default available: copy data from cols E-H for defaults,Chemical concentration (surface disposal influent)
57636,CSFOral,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,1000000,[per mg/kg-day],Default available: copy data from cols E-H for defaults,Oral cancer slope factor (human toxicity)
57636,Heat_of_Henry,FALSE,FALSE,FALSE,50000,143,D,,0,100000,[J/mol],Default available: copy data from cols E-H for defaults,Enthalpy of phase transform. from aqueous to air solution
57636,IUR,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,1000000,[ug/m3]^-1,Default available: copy data from cols E-H for defaults,"Inhalation unit risk (human toxicity, cancer)"
57636,Kaer,FALSE,FALSE,FALSE,0,143,D,,0,50,(1/day),Default available: copy data from cols E-H for defaults,Aerobic biodegradation rate (surface-water column)
57636,Kanaer,FALSE,FALSE,FALSE,0,143,D,,0,2,[1/day],Default available: copy data from cols E-H for defaults,Anaerobic degradation rate (sediment)
57636,Kh,FALSE,FALSE,FALSE,0,143,D,,0,50,[1/day],Default available: copy data from cols E-H for defaults,Hydrolysis rate
57636,Kpo,FALSE,FALSE,FALSE,0,143,D,,0,50,(1/day),Default available: copy data from cols E-H for defaults,Photolysis degradation rate in surface- water column
57636,ksoil,FALSE,FALSE,FALSE,0,143,D,,0,100,[1/day],Default available: copy data from cols E-H for defaults,Biodegradation rate (soil)
57636,Ref_BMD_Bird,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg chem/kg BW/day],Default available: copy data from cols E-H for defaults,Reference benchmark dose (bird)
57636,Ref_BMD_Mammal,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg chem/kg BW/day],Default available: copy data from cols E-H for defaults,Reference benchmark dose (mammal)
57636,Ref_BW_Bird,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,2000,[kg],Default available: copy data from cols E-H for defaults,Reference body weight (bird)
57636,Ref_BW_Mammal,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,2000,[kg],Default available: copy data from cols E-H for defaults,Reference body weight (mammal)
57636,RfC,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/m3],Default available: copy data from cols E-H for defaults,"Reference concentration (human toxicity, noncancer)"
57636,RfD,FALSE,FALSE,FALSE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,"Reference dose (human toxicity, noncancer)"
57636,RfD_fish,FALSE,FALSE,TRUE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,Reference dose specific to fish (generally = RfD)
57636,RfD_food,FALSE,FALSE,TRUE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,Reference dose specific to food (generally = RfD)
57636,RfD_soil,FALSE,FALSE,TRUE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,Reference dose specific to soil (generally = RfD)
57636,RfD_water,FALSE,FALSE,TRUE,1,190,D,Default positive values to generate dose values in model output,0,100000,[mg/kg-day],Default available: copy data from cols E-H for defaults,Reference dose specific to water (generally = RfD)
57636,Sol,FALSE,FALSE,FALSE,100000,143,D,,1E-12,1000000,[mg/L],Default available: copy data from cols E-H for defaults,Solubility
57636,tb,FALSE,FALSE,TRUE,100,143,D,,0,5000,[deg C],Default available: copy data from cols E-H for defaults,Boiling point
57636,CTPWasteDry,FALSE,FALSE,FALSE,0.001,190,,,2.5E-15,1000000,[ug/g DW],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Dry biosolids concentration
57636,Da,FALSE,FALSE,FALSE,0.0517368069510886,190,,FSG method: https://www3.epa.gov/ceampubl/learn2model/part-two/onsite/ed-background.html,0,1,[cm2/s],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Diffusivity in air
57636,Dw,FALSE,FALSE,FALSE,5.93409819257236e-06,190,,HL method: https://www3.epa.gov/ceampubl/learn2model/part-two/onsite/ed-background.html,0,0.01,[cm2/s],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Diffusion coefficient in water
57636,HLC,FALSE,FALSE,FALSE,9.44017e-08,279,,,0,10,[atm-m3/mol],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Henry's law constant
57636,Koc,FALSE,FALSE,FALSE,515331,279,,,0,1000000000,[mL/g],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Organic carbon partition coefficient
57636,LogKow,FALSE,FALSE,FALSE,3.67,279,,,-4,12,[log units],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Octanol-water partition coefficient
57636,MW,FALSE,FALSE,FALSE,296.177630013,279,,,6,1000,[g/mol],"Must enter data. For RefID, see list of common sources and RefIDs; if source not among those, leave the RefID 190 (user supplied) and enter short ref name in comments",Molecular weight
732263,CAS,FALSE,FALSE,FALSE,732263,279,,,,,NA,Must enter data,"CAS number, no hyphens"
732263,ChemName,FALSE,FALSE,FALSE,"2,4,6-Tris(tert-butyl)phenol",279,,,,,NA,Must enter data,Chemical name (should match name in tbl_Chemicals)
732263,ChemType,FALSE,FALSE,TRUE,O,146,,,,,NA,Fixed Value: copy data from cols E-H as is,"Chemical type, must be O for organics"
732263,AntB,FALSE,FALSE,TRUE,-9999,143,D,,,,"[C, atm]",Fixed Value: copy data from cols E-H as is,Antoine's vapor pressure equation coefficient B
732263,AntC,FALSE,FALSE,TRUE,-9999,143,D,,,,"[C, atm]",Fixed Value: copy data from cols E-H as is,Antoine's vapor pressure equation coefficient C
732263,Bs,FALSE,FALSE,TRUE,1,144,,Always 1,,,[fraction],Fixed Value: copy data from cols E-H as is,Bioavailability of contaminant in soil relative to vegetation
732263,CTPwaste,FALSE,FALSE,TRUE,4e-04,145,C,Calculated,0,,[ug/g WW],Fixed Value: copy data from cols E-H as is,Wet biosolids concentration
732263,KpPar,FALSE,FALSE,TRUE,18.07,25,,Constant,,,[1/yr],Fixed Value: copy data from cols E-H as is,Plant surface loss coefficient (particulate)
732263,Pc,FALSE,FALSE,TRUE,-9999,143,D,,,,[atm],Fixed Value: copy data from cols E-H as is,Critical pressure
732263,tc,FALSE,FALSE,TRUE,-9999,143,D,,,,[deg C],Fixed Value: copy data from cols E-H as is,Critical temperature
