"ModelCode","Units","MPRAT","SOURCE","Index1","Index2","Index3","Index4","WMUType"
"C_in","mg/L",,"C_in",,,,,
"NumVad",,,"NumVad",,,,,
"AquSATK","m/yr",,"AquSATK",1,,,,
"AquThick","m",,"AquThick",1,,,,
"SrcPh","pH units",,"SrcPh",,,,,
"SrcTemp","deg C",,"SrcTemp",,,,,
"VadAlpha","1/cm",,"VadAlpha",,,,,
"VadBeta","unitless",,"VadBeta",,,,,
"VadSATK","cm/h",,"VadSATK",,,,,
"VadThick","m",,"VadThick",1,,,,
"CPDirectory",,,"CPDirectory",,,,,
"AirTemp","degrees Celsius",,"AirTemp",,,,,
"AntB","unitless",,"AntB",,,,,
"AntC","unitless",,"AntC",,,,,
"AppDepth","m",,"AppDepth",,,,,
"area_1","(m2)","area_1","SrcArea",,,,,
"area_1","(m2)","area_1","SrcLWSSubAreaArea",1,1,,,
"area_2","(m2)","area_2","SrcLWSSubAreaArea",1,2,,,
"area_3","(m2)","Waw",,,,,,
"area_4","(m2)","Wat",,,,,,
"asdm","mm",,"asdm",,,,,
"BCF_beef","(mg/kg beef)/(mg/kg DW)","BCF_beef",,,,,,
"BCF_eggs","mg/kg poultry)/(mg/kg DW)","BCF_eggs",,,,,,
"BCF_milk","mg/kg milk)/(mg/kg DW)","BCF_milk",,,,,,
"BCF_poultry","mg/kg poultry)/(mg/kg DW)","BCF_poultry",,,,,,
"BCF_T3F","mg/kg fish)/(mg/L water)","BCF_T3F",,,,,,
"BCF_T3W","mg/kg fish)/(mg/L water)","BCF_T3W",,,,,,
"BCF_T4F","mg/kg fish)/(mg/L water)","BCF_T4F",,,,,,
"BCF_T4W","mg/kg fish)/(mg/L water)","BCF_T4W",,,,,,
"BCFL_beef","mg/kg lipid)/(mg/kg DW)","BCFL_beef",,,,,,
"BCFL_eggs","mg/kg lipid)/(mg/kg DW)","BCFL_eggs",,,,,,
"BCFL_milk","mg/kg lipid)/(mg/kg DW)","BCFL_milk",,,,,,
"BCFL_poultry","mg/kg lipid)/(mg/kg DW)","BCFL_poultry",,,,,,
"bcm","unitless",,"bcm",,,,,
"BD","(g/cm3)","BD",,,,,,
"BDw","(g/cm3)",,"BDw",,,,,
"BrExfruit","ug/g DW plant / ug/g soil) ","Br_Exfruit",,,,,,
"BrExveg","(ug/g DW plant / ug/g soil) chem: mg/kg","Br_Exveg",,,,,,
"BrForage","(ug/g DW plant / ug/g soil) chem: mg/kg","Br_Forage",,,,,,
"BrGrain","(ug/g DW plant / ug/g soil) chem: mg/kg","Br_Grain",,,,,,
"BrProfruit","(ug/g DW plant / ug/g soil) chem: mg/kg","Br_Profruit",,,,,,
"BrProveg","(ug/g DW plant / ug/g soil) chem: mg/kg","Br_Proveg",,,,,,
"BrRoot","(ug/g DW plant / ug/g soil) chem: mg/kg","Br_Root",,,,,,
"BrSilage","(ug/g DW plant / ug/g soil) chem: mg/kg","Br_Silage",,,,,,
"Bs",,"Bs",,,,,,
"BSAF","(mg/kg)","BSAF",,,,,,
"bsc","(g/cm3)","bsc",,,,,,
"bsp","(cm3/cm3)","bsp",,,,,,
"Bv","(ug/g DW plant / ug/g air)","Bv",,,,,,
"C","unitless",,"C",1,1,,,
"C","unitless",,"C",1,2,,,
"CAS",,"CAS","ChemCASID",1,,,,
"ChemFracNeutral","fraction",,"ChemFracNeutral",1,,,,
"Chemical abbreviation",,,"Chemical abbreviation",1,,,,
"ChemName",,,"ChemName",1,,,,
"ChemNum",,"Dw ","ChemNum",1,,,,
"ChemTemp","degrees Celsius",,"ChemTemp",,,,,
"ChemType","(M,O,Hg,D)","ChemType","ChemType",1,,,,
"CN","unitless",,"CN",1,1,,,
"CN","unitless",,"CN",1,2,,,
"CNwmu","unitless",,"CNwmu",,,,,
"Conc",,,"Conc",,,,,
"ConVs","(m/d)",,"ConVs",,,,,
"CPDirectory",,,"CPDirectory",,,,,
"CTPwaste","ug/g",,"CTPwaste",,,,,
"CubicPolyYCoeff",,,"CubicPolyYCoeff",,,,,
"CutOffYr","year",,"CutOffYr",,,,,
"Cwmu","unitless",,"Cwmu",,,,,
"Cyp ","(ug-s-m2/g-m3)","Cyp ",,,,,,
"Cyv ","(ug-s-m2/g-m3)","Cyv ",,,,,,
"Da ","(cm2/s)","Da","ChemADiff",1,,,,
"DailyOutput",,,"DailyOutput",,,,,
"db","(m)","db",,,,,,
"Debug",,,"Debug",,,,,
"deltDiv","1",,"deltDiv",,,,,
"DRZ","cm",,"DRZ",1,1,,,
"DRZ","cm",,"DRZ",1,2,,,
"Dw ","(cm2/s)","Dw ","ChemWDiff",1,,,,
"dwc","(m)","dwc",,,,,,
"Dydp","(s/m2-yr)","Dydp",,,,,,
"Dydp","(s-m2/m2-yr)","Dydp",,,,,,
"Dydv","(s-m2/m2-yr)","Dydv",,,,,,
"Dywp","(s-m2/m2-yr)","Dywp",,,,,,
"Dywv","(s-m2/m2-yr)","Dywv",,,,,,
"dz ","(m)","dz ",,,,,,
"effdust","unitless",,"effdust",,,,,
"ER","(unitless)","ER",,,,,,
"fcult","unitless",,"fcult",,,,,
"fd","1/mo",,"fd",,,,,
"foc_soil","mass fraction",,"focS",1,1,,,
"foc_soil","mass fraction",,"focS",1,2,,,
"focW","mass fraction",,"focW",,,,,
"Fv ","(unitless)","Fv ",,,,,,
"Fw","(unitless)","Fw",,,,,,
"fwmu","mass fraction",,"fwmu",,,,,
"GridVal",,,"GridVal",,,,,
"HLC","(atm-m3/mol)","HLC","ChemHLC",1,,,,
"Infild","m/d",,"Infild",,,,,
"InputDB",,,"InputDB",,,,,
"K","(kg/m2)","K","K",1,1,,,
"K","(kg/m2)","K","K",1,2,,,
"Kaer","1/day","Kaer",,,,,,
"kanaer","1/day","kanaer","ChemAnaBioRate",1,,,,
"Kd","(ml/g)","Kd","ChemKd",1,1,,,
"Kd","(ml/g)","Kd","ChemKd",1,2,,,
"Kd","(ml/g)","Kd","ChemKd",1,3,,,
"Kd","(ml/g)","Kd","ChemKd",1,4,,,
"Kd","(ml/g)","Kd","ChemKd",1,5,,,
"Kd","(ml/g)","Kd","ChemKd",1,6,,,
"Kd","(ml/g)","Kd","ChemKd",1,7,,,
"Kd","(ml/g)","Kd","ChemKd",1,8,,,
"Kd_bs","(ml/g)","Kd_bs",,,,,,
"Kd_sw","(ml/g)","Kd_sw",,,,,,
"Kdsoil","(ml/g)","Kdsoil",,,,,,
"KdVary","unitless",,"KdVary",,,,,
"kh","1/day","kh","ChemHydRate",1,,,,
"Koc","mL/g","Koc","ChemKoc",1,,,,
"KpPar","(1/yr)","KpPar",,,,,,
