"Modules","Category","SubCategory","ModelCode","Units","Description","Value","RefID","Comment","ValueType","MinValue","MaxValue","Temp","DataSource","DataTable","MayBeNonNumeric","ParameterCode"
"Media","DispersionSI",,"cypSI_1","[ug/m3]/[g/sec-m2]","Normalized air concentration over field (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_field"
"Media","DispersionSI",,"cypSI_2","[ug/m3]/[g/sec-m2]","Normalized air concentration over buffer (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_buffer"
"Media","DispersionSI",,"cypSI_3","[ug/m3]/[g/sec-m2]","Normalized air concentration over index reservoir (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_reserv"
"Media","DispersionSI",,"cypSI_4","[ug/m3]/[g/sec-m2]","Normalized air concentration over watershed (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_RWS"
"Media","DispersionSI",,"cypSI_5","[ug/m3]/[g/sec-m2]","Normalized air concentration over farm pond (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyp_pond"
"Media","DispersionSI",,"cyvSI_1","[ug/m3]/[g/sec-m2]","Normalized air concentration over field (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_field"
"Media","DispersionSI",,"cyvSI_2","[ug/m3]/[g/sec-m2]","Normalized air concentration over buffer (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_buffer"
"Media","DispersionSI",,"cyvSI_3","[ug/m3]/[g/sec-m2]","Normalized air concentration over index reservoir (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_reserv"
"Media","DispersionSI",,"cyvSI_4","[ug/m3]/[g/sec-m2]","Normalized air concentration over watershed (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_RWS"
"Media","DispersionSI",,"cyvSI_5","[ug/m3]/[g/sec-m2]","Normalized air concentration over farmpond (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Cyv_pond"
"Media","DispersionSI",,"DydpSI_1","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over field (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_field"
"Media","DispersionSI",,"DydpSI_2","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over buffer (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_buffer"
"Media","DispersionSI",,"DydpSI_3","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over index reservoir (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_reserv"
"Media","DispersionSI",,"DydpSI_4","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over watershed (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_RWS"
"Media","DispersionSI",,"DydpSI_5","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over farm pond (particle)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydp_pond"
"Media","DispersionSI",,"DydvSI_1","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over field (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydv_field"
"Media","DispersionSI",,"DydvSI_2","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over buffer (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydv_buffer"
"Media","DispersionSI",,"DydvSI_3","[g/m2-yr]/[g/sec-m2]","Normalized dry deposition over index reservoir (vapor)","Site-specific",,,"Constant",,,"",,"Fate_constant:Dispersion",0,"Dydv_reserv"
"Source","SI","SI","AquSATK","[m/yr]","Saturated hydraulic conductivity (aquifer)","1890",143,,"Constant",,,"1890",,"tbl_Model_Parameters:SI",0,"AquSATK"
"Source","SI","SI","AquThick","[m]","Saturated zone thickness","14.3",143,,"Constant",,,"14.3",,"tbl_Model_Parameters:SI",0,"AquThick"
"Source","SI","SI","SrcPh","[pH units]","pH of the SI influent","7",143,,"Constant",,,"7",,"tbl_Model_Parameters:SI",0,"SrcPh"
"Source","SI","SI","SrcTemp","[deg C]","Temperature of the waste","20",143,,"Constant",,,"20",,"tbl_Model_Parameters:SI",0,"SrcTemp"
"Source","SI","SI","VadSATK","[cm/h]","Saturated hydraulic conductivity of vadose zone soil","0.0089",143,,"Constant",,,"0.0089",,"tbl_Model_Parameters:SI",0,"VadSATK"
"Source","SI","SI","VadThick","[m]","Thickness of vadose zone","6.1",143,,"Constant",,,"6.1",,"tbl_Model_Parameters:SI",0,"VadThick"
"Source","SI","SI","VadAlpha","[1/cm]","Soil retention parameter alpha (vadose zone)","0.00152",143,,"Constant",,,"0.00152",,"tbl_Model_Parameters:SI",0,"VadAlpha"
"Source","SI","SI","VadBeta","[dimensionless]","Soil retention parameter beta (vadose zone)","1.37",143,,"Constant",,,"1.37",,"tbl_Model_Parameters:SI",0,"VadBeta"
